tittle,review,stars
Harapkan biaya bagasi melebihi harga tiket Anda.,"Anda tidak dapat membayar bagasi secara online. Saya mencoba beberapa kartu, termasuk meminta seorang teman di Indonesia untuk membayarnya... Tidak berfungsi sepenuhnya.- Anda tidak dapat membayar bagasi melalui telepon. Mereka sebenarnya memiliki rekaman jawaban palsu ""Halo, maaf saya tidak dapat mendengar Anda. Halo, maaf saya tidak dapat mendengar Anda, saya akan memutuskan panggilan"". Itu agak lucu. Pada akhirnya saya berhasil melakukan pra-bayar menggunakan buybaggage.com. Mereka mengambil biaya $ 10 - 20, tetapi itu masuk akal mengingat kelebihan $ 200 jika Anda mencoba membayar di bandara. . .",1
"Lagi, dan lagi, tahun demi tahun, Maskapai dan Perusahaan terburuk di Indonesia","Biasanya seringkali keterlambatan atau delay tanpa adanya pemberitahuan kepada penumpang. staf kasar dan sombong sehingga tidak enak dilihat  -kabin Bau dan kantung kursi biasanya kotor  - kamar mandi Biasanya kotor dan tidak higienis  - penanganan bagasi yang lambat - ground staf mengganggu and tidak mau membantu.  Sungguh memalukan bagi Indonesia dan pemerintahnya bahwa maskapai ini masih diizinkan untuk menerbangkan langit Indonesia. Amankan  uang Anda, waktu, keamanan, dan liburan/bisnis perjalanan, dengan bayar lebih banyak dan terbang dengan maskapai penerbangan lain!",1
"Ekonomis dan banyak jadwal, check-in awal ngtidak menjamin seat depan.","Tidak lagi mengalami delay (4 flight Jkt-Bpn PP), pilihan jadwal cukup banyak, harga terjangkau. + (plus) Pemberitahuan perubahan via SMS 2 hari sebelum keberangkatan cukup memadai dan sangat membantu. - (minus) tidak bisa booking seat baris depan, landing process kurang smooth, ruang kaki sempit",4
Harga Wajar dengan Layanan Adil,"""Anda mendapatkan apa yang Anda bayar"" menggambarkan maskapai ini dengan sangat baik. Jangan pernah berharap untuk memiliki layanan penuh tetapi mereka memberikan penerbangan yang mulus. Namun, selama penerbangan saya, mereka menempatkan orang yang tidak mampu di kursi di sebelah pintu darurat. Untungnya, FA menggantikan mereka sebelum penerbangan. Mereka perlu melakukan pemeriksaan latar belakang yang tepat sebelum membiarkan seseorang duduk di sebelah pintu darurat.",4
Periksa dengan cermat siapa yang mengoperasikan penerbangan Anda...,"karena dalam hal jatah bagasi ada perbedaan besar antara  Air dan perusahaan saudara Wings Air. Mereka hanya menerima sesedikit 10 kg dan tak perlu dikatakan bahwa mereka hanya menerima uang tunai jika Anda harus membayar kelebihan bagasi. Jika Anda tidak memiliki cukup uang tunai, satu-satunya cara untuk keluar dari situasi ini adalah meninggalkan gedung Bandara, Ganti Uang di luar dan beri isyarat sekali lagi untuk kembali ke dalam.",1
"Layanan pelanggan yang mengejutkan, perusahaan yang tidak jujur ​​dan memalukan.","saya pernah terbang dengan  Air sebelumnya dan sejujurnya, mereka tidak pernah bagus tetapi waktu penerbangannya cocok. Namun kali ini, saya dan mitra saya (yang orang Indonesia) dan saya memesan tiket untuk Lombok, kami membayar dengan kartu kreditnya sebagai situs web terus menolak semua kartu UK saya. Sayangnya karena gempa bumi baru-baru ini, kami harus membatalkan. Setelah banyak mencari dan memberikan informasi kontak yang salah, kami akhirnya menemukan email """" Layanan Pelanggan """", yang kemudian memberi tahu kami bahwa satu-satunya cara kami bisa membatalkan tiket adalah menelepon nomor Indonesia. Tidak ideal karena kami berada di Inggris, jadi kami meminta teman-teman di Jakarta untuk menelepon atas nama kami. Kami diberitahu bahwa mereka hanya akan mengembalikan 75% meskipun alasan kami untuk membatalkan adalah karena gempa bumi dahsyat Mereka kemudian mengatakan bahwa karena pasangan Indonesia saya telah membayar tiket dengan kartu kreditnya, satu-satunya cara mereka akan mengembalikan uang adalah jika dia datang ke kantor mereka di Jakarta dengan ID dan kartu yang dia gunakan dan dia harus melakukannya dalam waktu 2 bulan dan pengembalian dana akan memakan waktu e bulan berikutnya. Karena kami harus membatalkan seluruh perjalanan kami, dia masih akan berada di Inggris dalam 2 bulan. Kami meminta perpanjangan waktu ini tetapi mereka mengabaikan kami. Mengapa mereka tidak bisa mengembalikan uang itu ke kartu kredit yang mereka ambil alih-alih menempatkan kami melalui pemborosan waktu yang konyol ini. Kenapa dia harus pergi ke kantor mereka? Mereka tidak menanggapi email sekarang. Saya mempertanyakan mengapa aturan konyol ini ada dan sejak itu tidak memiliki jawaban. Saya menerima email pagi ini yang memberi tahu saya bahwa alih-alih tiket saya dibatalkan, mereka telah pindah ke 5 Januari ??? Mengapa?? Saya percaya mereka sengaja canggung agar mereka tidak perlu membayar. Saya telah menggunakannya sebelumnya tetapi tidak pernah lagi.""",1
ANGGARAN DASAR TIDAK ADA PILIHAN!! Check-in Bagasi Dikenakan Biaya mulai 1 Maret 2019 dengan harga Tarif tinggi,"1)Saya terbang dari Balikpapan ke Jakarta pada hari Selasa 5 Maret pukul 07:45. Saat check in di balikpapan, saya meminta agar bagasi saya dipindahkan di jakarta karena penerbangan saya ke KL hanya pukul 16:00. Staf di konter",2
Penipu penjarah,"1. Kursinya keras seperti batu.2. Segala sesuatu seperti air, headphone, hiburan, selimut, bantal diberikan dengan biaya yang harus dibayar.3. Kedua sektor Del ke Kl",1
Tidak ada perbaikan pada jadwal penerbangan,"1. penerbangan dari jakarta pada hari minggu jam 18.15 seharusnya tiba pada jam 19.10 waktu bali, delay kurang lebih 1 jam saya asumsikan penerbangan sebelumnya dengan delay tidak lebih dari 3 jam kali ini tidak akan delay lagi.. masih dengan delay, saya tidak tahu kapan manajemen akan meningkatkan waktu jadwal dan staf ground handling untuk lebih berempati dengan kebutuhan penumpang, kami tidak mendapatkan opsi apa pun untuk mengubah penerbangan, info sebelumnya atau informasi lain sebelum kami tiba di bandara, sangat mengganggu ketika kami mencoba tepat waktu untuk jadwal, kesan pertama tidak terlalu bagus, jadi saya mencoba lagi yang kedua dan ketiga, masih dengan waktu yang delay saat lepas landas, kami tidak punya banyak pilihan untuk mengubah penerbangan, kami cukup. pasti membutuhkan bantuan dari manajemen  air untuk meningkatkan layanan tidak hanya menyalahkan Bandara atau Penumpang pada beberapa kasus yang delay.",3
Bencana,"1. Staf  air sisi Bali menyuruh kami untuk tidak turun ketika kami mencapai Makassar...2. Sesampainya di Makassar, pramugari menyuruh kami turun lagi check in. (Srsly?)3. Saat kami turun, pramugari dan Pilot berfoto di kokpit (seperti yang diumumkan, ini penerbangan terakhir pilot). ""Saya yakin kalian bisa memotret setelah semua penumpang keluar dari pesawat?""4. Kita harus turun dari pesawat~ naik bus~ mengantri untuk mendapatkan tiket baru~ scan bag lagi~ mencari gerbang (gerbang sepertinya bentrok, ada beberapa penunjukan bus ke Jakarta dan Manado)~ banyak penumpang yang bingung dan salah naik bus juga.5. delay penerbangan dari Bali .... Dan delay lebih lama lagi dari Makassar karena beberapa penumpang hilang ... Pengalaman yang mengerikan ... Saya tidak yakin apa yang dilakukan manajemen untuk membuat S.O.P seperti itu terjadi ...",1
"Diizinkan memuat 15 kg gratis, Penerbangan murah, mendapat makanan penutup mini","1.Saya mendapat penerbangan murah dari Bangkok (DMK) ke Phuket (HKT) 1250 bath untuk 2 orang, sangat layak. 2.Mudah untuk check-in lanjutan; melalui situs web atau aplikasi online dan mendapatkan tiketnya, Anda dapat menunjukkan cetak atau tunjukkan tiket online kepada petugas Imigrasi. 3. Naik dan lepas landas tepat waktu sehingga penerbangan saya juga mendarat tepat waktu. 4. Pramugari sangat baik, sopan ... oh Anda harus mendapatkan kue mini dan air minum, itu tidak banyak tetapi membuat saya merasa nyaman di Boeing 737-800. 5.Jangan lupa penerbangan ekonomi, bukan kursi yang nyaman. Tidak apa-apa jika Anda melakukan perjalanan singkat. Selamat jalan :)",4
Nyaris ketinggalan pesawat,"10 September 2016 kami, saya, suami dan safa anak perempuan ku serta adik ipar dan ayah mertua tersayang berkunjung ke jakarta, ada family yang menikahkan anaknya, singkat cerita karena kita pergi di weekend alias sabtu ceria parkiran bandara penuh sesak, (saran klo pergi sabtu minimal 1.5 sebelum keberangkatan sdh ada di bandara) jadi macet si komo lewat dan jam check in sudah hampir di tutup, beruntung petugas dari bandara baek banget.. saat kita masih nimbang bagasi petugas sudah mendampingi dan meminta kita untuk cepat masuk bahkan tiket dia pegang sambil bilang ayoo buu pesawat nya sdh mau brgkt ... hehe alhamdulillah akhirnya kita bisa berangkat dengan selamat dan tidak ketinggalan pesawat",4
Telah berbenah,"23 oktober akhirnya saya memberanikan diri untuk terbang bersama  air, setelah beberapa kali mendapatkan pengalaman yg membuat jera, karena alasan waktu saya pun terbang, tidak disangka2 penerbangan justru lebih cepat 5-10 menit dari sechedule awal, plus smooth landing and less turbulences, memang suasana awal cabin terasa panas dan pengap namun beberapa menit setelah take off cabin sudah mulai dingin. well done crew.",3
LAYANAN PELANGGAN BURUK,"2x minta info ke CS dihari ya berbeda dihandle orang yg sama bernama Ardi, SANGAT BURUK PELAYANAN, PENYAMPAIAN, BAHASA, TERLALU MENYEPELEKAN PELANGGAN, KURANG SOPAN INTONASI, TERKESAN BELAGU.. dapatkah kalian mereview penampilannya?! dan ajari dia bagaimana menjadi layanan pelanggan yang baik di industri perhotelan .. yakin Anda dapat melakukannya untuk menemukan CS yang baik di masa depan! SANGAT KECEWA DENGAN LAYANAN PELANGGAN YR! ‘ŽðŸ »",1
 Air = Ryan,3 dari kami bepergian dengan 1 tas antara diperintahkan untuk membagi berat menjadi 3 tas terpisah masing-masing di bawah 7kgs.Tas jinjing adalah 9kgs...bagaimana masuk akal untuk membagi 1 tas antara 3 orang menjadi 3 tas terpisah. Mulai sekarang kita akan terbang dengan nok air atau . Air dengan staf check-in yang kasar seperti Ryanair dari Asia.Tidak pernah lagi,1
Low cost but insecure,"3 kali menggunakan jasa penerbangan pesawat ini, 2 kalinya delay hampir 2 jam.  Air memberi pengalaman yang susah dilupakan bagi penumpangnya. tapi ya harganya murah sih, mau gimana. mungkin itu konsekuensinya",3
terlambat adalah jati diri kita?,"4 kali naik , tapi hanya 1 kali yang on schedule..sudah buru2 ke bandara agar tidak terlambat, malah pesawatnya yang delay. Kalau penumpang yang terlambat tidak ada alasan, tiket hangus, tapi kalau pesawat yang terlambat terbang, banyak alasan. Bikin kapok naik lagi, walau harga murah.",1
Makassar-Solo On TIme,8/4/18 naik  UPG-CGK and it is on time. karena  terkenal sering telat dan delay seneng banget deh kalo on time gini lanjutkan kerja kerasnya ya  GROUP,3
kapok,"ac mati selama didarat, baru nyala acnya setelah 5 menit di atas. ngeri aja pas mau landing udh kebayang aja kalo rodanya  tidak mau keluar. untung masih bisa selamat",2
Good Service,Ada harga untuk fasilitas dan kenyamanan selama di pesawat. Tetapi sempat delay di udara karena menunggu giliran mendarat. Mungkin karena di HLP ruang landasnya terbatas.,3
Hiburan di atas pesawat,"Ada hiburan diatas pesawat, saya menonton 1 film selama penerbangan. Tidak mendapatkan makanan nasi, hanya diberikan snack. Penerbangan delay 3  menit.",4
Ada perbaikan,"Ada perbaikan setelah terus menerus dikritik sebagai spesialis delay,memang semestinya harus berubah,sebelum pesaing datang.",3
Keren," baru sekali naik pesawat ekonomi yang ada tv nya , bisa colok headset sambil nonton video , dengar lagu , keren pokoknya !!! Biasa anak kalau di dalam pesawat tuh rewel ya , tapi waktu naik  , anak saya seneng banget bisa nonton kartun & saya juga suka kartun , nonton bersama deh",4
Poor Service,"Air yang katanya Full Service tapi reschedule nya dibatasin sampai 72j sebelum keberangkatan, biaya administrasi 100rb ditambah selisih harga Bandingkan dengan competitor si Hijau yang Sampai 4 Jam sebelum keberangkatan kalau reschedule cuma bayar 50ribu(biaya admin) + selisih harga Overal Poor Servis tidak ada relaksasi selama pandemi bahkan kursi tengah tidak di kosongin ",1
Diperlukan restrukturisasi,"Airlane ini memberi kita kesempatan untuk terbang dengan harga murah dan ada banyak lalu lintas dan tujuan yang akan ditemukan. Tapi, itu pasti tidak direkomendasikan untuk perjalanan waktu yang ketat. Saya mendapatkan dua kali delay dalam satu penerbangan ketika saya melakukan perjalanan dari Surabaya ke Jakarta, memakan waktu 3 jam.",3
10kg bagasi tanpa opsi upgrade online,"Akan memesan penerbangan saya dengan  Air tetapi tidak mungkin mendapatkan jawaban untuk bagasi. Ini menunjukkan hanya 10kg yang tidak baik bagi siapa pun yang terbang dari luar negeri. Semua operator lain menawarkan bagasi yang lebih berat atau setidaknya biaya tambahan, tidak tersedianya pertunjukan , jadi saya memesan semua penerbangan saya dengan operator lain. Saya memang mengirim email tetapi tidak ada yang membalas saya. Senang saya lakukan setelah membaca ulasan ini. Saya tidak berharap high-end dengan harga mereka tetapi saya berharap untuk mendapatkan jawaban dan memiliki penerbangan tepat waktu. Saya memang menemukan lucu komentar yang mengatakan orang memanggil mereka Liarair.",1
Penerbangan yang menyenangkan,"Akhirnya  Air mengerti kebutuhan seluruh penumpang maskapai. Tidak delay. Beberapa kali saya menggunakan maskapai ini, tidak pernah delay. Pilot sangat handal sekalipun harus melewati awan tebal.",4
